Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-18 12:26:38.402 +0530,"Failure",0:00:13,1,0,1,"20250218_122638.402/LogFile.txt","","Image Not Found -- moveto Error - No Text Found On Screen: ""(TEXT:""Computers"")"". Text not found.",0
2025-02-18 12:26:59.777 +0530,"Success",0:00:31,0,0,0,"20250218_122659.777/LogFile.txt","","",1
