Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-18 12:28:20.170 +0530,"Failure",0:00:17,1,0,1,"20250218_122820.170/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""Male"")"". Text not found.",0
2025-02-18 12:28:55.505 +0530,"Success",0:00:49,0,0,0,"20250218_122855.505/LogFile.txt","","",1
